language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
ru,v1,1,1,1,в,в,в,unknown,в,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,2,2,и,и,и,unknown,и,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,3,3,на,на,на,unknown,на,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,4,4,не,не,не,unknown,не,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,5,5,с,с,с,unknown,с,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,6,6,что,что,что,unknown,что,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,7,8,я,я,я,unknown,я,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,8,9,по,по,по,unknown,по,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,9,10,а,а,а,unknown,а,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,10,11,как,как,как,unknown,как,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,11,12,из,из,из,unknown,из,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,12,14,это,это,это,unknown,это,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,13,15,за,за,за,unknown,за,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,14,17,для,для,для,unknown,для,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,15,18,о,о,о,unknown,о,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,16,19,к,к,к,unknown,к,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,17,20,но,но,но,unknown,но,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,18,21,то,то,то,unknown,то,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,19,22,у,у,у,unknown,у,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,20,23,его,его,его,unknown,его,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,21,24,он,он,он,unknown,он,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,22,25,от,от,от,unknown,от,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,23,26,все,все,все,unknown,все,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
ru,v1,1,24,27,так,так,так,unknown,так,wordfreq:ru,wordfreq_seeded;deterministically_filtered;needs_human_review
